client,method,accuracy
H01,FedAvg,0.9248826291079812
H02,FedAvg,0.9248826291079812
H03,FedAvg,0.92018779342723
H04,FedAvg,0.9483568075117371
H05,FedAvg,0.8873239436619719
H06,FedAvg,0.9014084507042254
H07,FedAvg,0.9433962264150944
H08,FedAvg,0.9528301886792453
H09,FedAvg,0.9056603773584906
H10,FedAvg,0.910377358490566
H01,FedProx,0.9248826291079812
H02,FedProx,0.9248826291079812
H03,FedProx,0.92018779342723
H04,FedProx,0.9483568075117371
H05,FedProx,0.8873239436619719
H06,FedProx,0.9014084507042254
H07,FedProx,0.9433962264150944
H08,FedProx,0.9528301886792453
H09,FedProx,0.9056603773584906
H10,FedProx,0.910377358490566
H01,SCAFFOLD,0.9248826291079812
H02,SCAFFOLD,0.9248826291079812
H03,SCAFFOLD,0.9248826291079812
H04,SCAFFOLD,0.9483568075117371
H05,SCAFFOLD,0.8873239436619719
H06,SCAFFOLD,0.9014084507042254
H07,SCAFFOLD,0.9528301886792453
H08,SCAFFOLD,0.9528301886792453
H09,SCAFFOLD,0.9056603773584906
H10,SCAFFOLD,0.9150943396226415
H01,FedNova,0.8826291079812206
H02,FedNova,0.8873239436619719
H03,FedNova,0.8967136150234741
H04,FedNova,0.9107981220657277
H05,FedNova,0.8732394366197183
H06,FedNova,0.8685446009389671
H07,FedNova,0.9150943396226415
H08,FedNova,0.9198113207547169
H09,FedNova,0.9056603773584906
H10,FedNova,0.8726415094339622
H01,FedCrit-HEA,0.8826291079812206
H02,FedCrit-HEA,0.863849765258216
H03,FedCrit-HEA,0.8779342723004695
H04,FedCrit-HEA,0.9248826291079812
H05,FedCrit-HEA,0.8215962441314554
H06,FedCrit-HEA,0.8309859154929577
H07,FedCrit-HEA,0.8915094339622641
H08,FedCrit-HEA,0.8915094339622641
H09,FedCrit-HEA,0.8301886792452831
H10,FedCrit-HEA,0.8537735849056604
