model,privacy_budget,noniid_level,rounds,final_accuracy,best_accuracy,best_round,mean_accuracy,final_loss,best_loss,mean_loss
FedAvg,0.5,0.1,50,0.60306,0.60892,42,0.58369,0.55436,0.53224,0.59215
FedAvg,0.5,0.3,50,0.55369,0.57617,44,0.55207,0.61028,0.58192,0.63568
FedProx,1.0,0.5,50,0.59702,0.6136,28,0.59052,0.57176,0.53763,0.58462
FedAvg,1.0,0.1,50,0.64928,0.6525,28,0.62407,0.49292,0.47855,0.53631
FedNova,2.0,0.3,50,0.76619,0.77841,48,0.73436,0.33146,0.30964,0.38329
FedProx,1.0,0.3,50,0.63314,0.65353,46,0.62361,0.52122,0.48793,0.53765
FedProx,2.0,0.1,50,0.77161,0.78072,48,0.73396,0.3145,0.29778,0.37937
FedNova,2.0,0.1,50,0.82083,0.82083,50,0.7685,0.23761,0.23761,0.33539
FedAvg,1.0,0.3,50,0.60916,0.61408,35,0.59019,0.55344,0.52586,0.58227
FedAvg,2.0,0.5,50,0.65435,0.66427,48,0.63515,0.50721,0.45715,0.52093
FedAvg,1.0,0.5,50,0.56088,0.57453,33,0.5572,0.61139,0.58465,0.62979
FedProx,2.0,0.3,50,0.73032,0.7438,40,0.70165,0.37923,0.34891,0.42801
FedProx,0.5,0.3,50,0.58964,0.60551,23,0.58541,0.57117,0.54495,0.5895
FedNova,0.5,0.5,50,0.58906,0.59899,34,0.58541,0.56739,0.55114,0.59082
FedProx,2.0,0.5,50,0.69468,0.71043,36,0.66881,0.43319,0.39981,0.47205
FedNova,0.5,0.1,50,0.6753,0.67749,26,0.6542,0.44878,0.43725,0.49519
FedNova,1.0,0.3,50,0.66868,0.68234,46,0.65617,0.4631,0.4373,0.49363
FedAvg,2.0,0.1,50,0.73963,0.748,45,0.70245,0.36727,0.34924,0.42613
FedProx,0.5,0.5,50,0.56598,0.56643,40,0.55235,0.61594,0.59677,0.63594
FedNova,0.5,0.3,50,0.63091,0.64277,41,0.62014,0.51526,0.49306,0.54215
FedAvg,0.5,0.5,50,0.52266,0.53013,29,0.51613,0.64759,0.64759,0.68783
FedProx,0.5,0.1,50,0.62881,0.64203,39,0.6181,0.51964,0.49435,0.54365
FedNova,2.0,0.5,50,0.72821,0.7366,45,0.70241,0.39243,0.36495,0.42767
FedAvg,2.0,0.3,50,0.70269,0.71354,46,0.66963,0.40089,0.39463,0.47295
FedNova,1.0,0.5,50,0.63649,0.64499,47,0.62603,0.50622,0.49085,0.53459
FedProx,1.0,0.1,50,0.68298,0.68713,44,0.65758,0.45194,0.43233,0.48985
FedNova,1.0,0.1,50,0.71615,0.72122,29,0.68896,0.39294,0.36682,0.44571
